 INFO  Accepting connections at http://localhost:3000
 HTTP  04/11/2025 10:58:05 ::1 Returned 304 in 0 ms
 HTTP  04/11/2025 10:58:05 ::1 GET /about-us
 HTTP  04/11/2025 10:58:05 ::1 Returned 200 in 1 ms
 HTTP  04/11/2025 10:58:05 ::1 GET /services
 HTTP  04/11/2025 10:58:05 ::1 Returned 200 in 0 ms
 HTTP  04/11/2025 10:58:05 ::1 GET /our-projects
 HTTP  04/11/2025 10:58:05 ::1 Returned 200 in 0 ms
 HTTP  04/11/2025 10:58:05 ::1 GET /contact-us
 HTTP  04/11/2025 10:58:05 ::1 Returned 200 in 1 ms
 HTTP  04/11/2025 10:58:07 ::1 GET /_astro/about-us.DFGR3YlS.css
 HTTP  04/11/2025 10:58:07 ::1 Returned 304 in 0 ms
